2019-06-07 23:13:43,478 - INFO - Criando servidor com parametros host: 10.254.224.52, port:55000, interval: 0.001
2019-06-07 23:13:43,478 - INFO - Criando socket UDP
2019-06-07 23:14:02,314 - INFO - sending message(id:119) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,317 - INFO - sending message(id:120) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,319 - INFO - sending message(id:121) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,320 - INFO - sending message(id:122) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,322 - INFO - sending message(id:123) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,326 - INFO - sending message(id:124) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,327 - INFO - sending message(id:125) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,329 - INFO - sending message(id:126) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,330 - INFO - sending message(id:127) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,332 - INFO - sending message(id:128) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,335 - INFO - sending message(id:129) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,336 - INFO - sending message(id:130) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,338 - INFO - sending message(id:131) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,340 - INFO - sending message(id:132) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,344 - INFO - sending message(id:133) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,345 - INFO - sending message(id:134) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,347 - INFO - sending message(id:135) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,349 - INFO - sending message(id:136) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,351 - INFO - sending message(id:137) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,353 - INFO - sending message(id:138) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,355 - INFO - sending message(id:139) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,357 - INFO - sending message(id:140) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,359 - INFO - sending message(id:141) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,361 - INFO - sending message(id:142) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,363 - INFO - sending message(id:143) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,365 - INFO - sending message(id:144) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,368 - INFO - sending message(id:145) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,370 - INFO - sending message(id:146) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,371 - INFO - sending message(id:147) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,374 - INFO - sending message(id:148) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,375 - INFO - sending message(id:149) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,378 - INFO - sending message(id:150) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,379 - INFO - sending message(id:151) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,381 - INFO - sending message(id:152) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,383 - INFO - sending message(id:153) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,385 - INFO - sending message(id:154) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,387 - INFO - sending message(id:155) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,389 - INFO - sending message(id:156) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,391 - INFO - sending message(id:157) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,393 - INFO - sending message(id:158) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,395 - INFO - sending message(id:159) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,397 - INFO - sending message(id:160) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,399 - INFO - sending message(id:161) to ('10.254.224.48', 56916)
